E-field vs Concentration Data
Surface potential: -200 mV
Ion size (steric correction): 3.5 Å
""
Concentration (M),E-field (V/m),|E| (GV/m)
1.0000e-02,-1.5745e+08,0.1574
1.4125e-02,-1.7249e+08,0.1725
1.9953e-02,-1.8824e+08,0.1882
2.8184e-02,-2.0466e+08,0.2047
3.9811e-02,-2.2168e+08,0.2217
5.6234e-02,-2.3925e+08,0.2393
7.9433e-02,-2.5732e+08,0.2573
1.1220e-01,-2.7582e+08,0.2758
1.5849e-01,-2.9469e+08,0.2947
2.2387e-01,-3.1384e+08,0.3138
3.1623e-01,-3.3323e+08,0.3332
4.4668e-01,-3.5278e+08,0.3528
6.3096e-01,-3.7244e+08,0.3724
8.9125e-01,-3.9214e+08,0.3921
1.2589e+00,-4.1186e+08,0.4119
1.7783e+00,-4.3156e+08,0.4316
2.5119e+00,-4.5122e+08,0.4512
3.5481e+00,-4.7086e+08,0.4709
