E-field vs Applied Potential Data
Concentration: 3.0 M
""
Potential (mV),Potential (V),E-field (V/m),|E| (GV/m)
-50,-0.050,-1.1168e+08,0.1117
-97,-0.097,-2.1632e+08,0.2163
-143,-0.143,-3.2483e+08,0.3248
-190,-0.190,-4.3627e+08,0.4363
-236,-0.236,-5.4954e+08,0.5495
-283,-0.283,-6.6352e+08,0.6635
-329,-0.329,-7.7693e+08,0.7769
-376,-0.376,-8.8845e+08,0.8884
-422,-0.422,-9.9696e+08,0.9970
-469,-0.469,-1.1018e+09,1.1018
-516,-0.516,-1.2028e+09,1.2028
-562,-0.562,-1.3000e+09,1.3000
-609,-0.609,-1.3937e+09,1.3937
-655,-0.655,-1.4843e+09,1.4843
-702,-0.702,-1.5719e+09,1.5719
-748,-0.748,-1.6569e+09,1.6569
-795,-0.795,-1.7395e+09,1.7395
-841,-0.841,-1.8199e+09,1.8199
-888,-0.888,-1.8983e+09,1.8983
-934,-0.934,-1.9748e+09,1.9748
-981,-0.981,-2.0496e+09,2.0496
-1028,-1.028,-2.1227e+09,2.1227
-1074,-1.074,-2.1943e+09,2.1943
-1121,-1.121,-2.2643e+09,2.2643
-1167,-1.167,-2.3322e+09,2.3322
-1214,-1.214,-2.3966e+09,2.3966
-1260,-1.260,-2.4537e+09,2.4537
-1307,-1.307,-2.5015e+09,2.5015
-1353,-1.353,-2.5430e+09,2.5430
-1400,-1.400,-2.5827e+09,2.5827
