Modified PB vs Gouy-Chapman Comparison
Surface potential: -200 mV
z* (measurement distance): 2.6 Å
""
Model Comparison
Concentration (M),Modified PB |E| (GV/m),Gouy-Chapman |E| (GV/m),GC Analytical E(0) (GV/m)
5.0119e-02,0.2333,0.1667,0.9361
7.0795e-02,0.2512,0.1711,1.1126
1.0000e-01,0.2696,0.1748,1.3223
1.4125e-01,0.2884,0.1776,1.5716
1.9953e-01,0.3074,0.1796,1.8678
2.8184e-01,0.3267,0.1806,2.2199
3.9811e-01,0.3463,0.1805,2.6384
5.6234e-01,0.3659,0.1791,3.1357
7.9433e-01,0.3856,0.1760,3.7268
1.1220e+00,0.4053,0.1710,4.4293
1.5849e+00,0.4250,0.1636,5.2642
2.2387e+00,0.4447,0.1534,6.2566
3.1623e+00,0.4643,0.1401,7.4359
4.4668e+00,0.4839,0.1236,8.8376
""
Scaling Analysis
Model,R² to log(c),R² to √c,Better Fit
Modified PB (Stern),0.9998,0.9217,log(c)
Gouy-Chapman,0.4565,0.7397,√c
