Ion Concentrations vs Distance Data
Surface potential: -200 mV
""
z (Å),[Cl-] at c=0.01 M (M),[Na+] at c=0.01 M (M),[Cl-] at c=0.014 M (M),[Na+] at c=0.014 M (M),[Cl-] at c=0.02 M (M),[Na+] at c=0.02 M (M),[Cl-] at c=0.028 M (M),[Na+] at c=0.028 M (M),[Cl-] at c=0.04 M (M),[Na+] at c=0.04 M (M),[Cl-] at c=0.056 M (M),[Na+] at c=0.056 M (M),[Cl-] at c=0.079 M (M),[Na+] at c=0.079 M (M),[Cl-] at c=0.11 M (M),[Na+] at c=0.11 M (M),[Cl-] at c=0.16 M (M),[Na+] at c=0.16 M (M),[Cl-] at c=0.22 M (M),[Na+] at c=0.22 M (M),[Cl-] at c=0.32 M (M),[Na+] at c=0.32 M (M),[Cl-] at c=0.45 M (M),[Na+] at c=0.45 M (M),[Cl-] at c=0.63 M (M),[Na+] at c=0.63 M (M),[Cl-] at c=0.89 M (M),[Na+] at c=0.89 M (M),[Cl-] at c=1.3 M (M),[Na+] at c=1.3 M (M),[Cl-] at c=1.8 M (M),[Na+] at c=1.8 M (M),[Cl-] at c=2.5 M (M),[Na+] at c=2.5 M (M),[Cl-] at c=3.5 M (M),[Na+] at c=3.5 M (M)
0.600,2.648759e-20,8.213215e-14,3.818367e-20,1.097436e-13,5.480218e-20,1.448760e-13,7.811984e-20,1.882517e-13,1.102463e-19,2.395392e-13,1.533569e-19,2.963571e-13,2.090176e-19,3.529401e-13,2.768304e-19,3.988381e-13,3.521758e-19,4.187713e-13,4.232666e-19,3.958738e-13,4.690563e-19,3.209394e-13,4.620862e-19,2.065121e-13,3.823918e-19,9.281197e-14,2.427390e-19,2.338873e-14,1.016171e-19,2.227286e-15,2.158285e-20,3.803768e-17,1.444588e-21,2.626668e-20,1.226085e-23,3.068627e-26
0.697,4.340102e-20,1.198158e-13,6.323630e-20,1.602155e-13,9.189744e-20,2.120654e-13,1.329460e-19,2.770226e-13,1.909669e-19,3.556850e-13,2.714152e-19,4.463353e-13,3.798770e-19,5.430626e-13,5.201833e-19,6.334374e-13,6.906168e-19,6.967023e-13,8.776139e-19,7.049901e-13,1.047772e-18,6.320097e-13,1.143143e-18,4.729148e-13,1.092425e-18,2.679384e-13,8.550956e-19,9.740053e-14,4.911441e-19,1.693541e-14,1.715852e-19,8.152877e-16,2.609427e-20,3.711850e-18,9.236050e-22,1.694120e-22
0.795,6.395188e-20,1.569345e-13,9.406752e-20,2.096503e-13,1.382024e-19,2.776059e-13,2.024863e-19,3.634722e-13,2.952302e-19,4.690163e-13,4.271444e-19,5.937347e-13,6.108969e-19,7.326591e-13,8.591450e-19,8.732885e-13,1.179593e-18,9.922521e-13,1.565168e-18,1.053877e-12,1.978074e-18,1.015608e-12,2.330820e-18,8.475505e-13,2.479470e-18,5.679344e-13,2.264454e-18,2.691516e-13,1.637127e-18,7.223381e-14,8.177346e-19,7.303688e-15,2.224288e-19,1.266407e-16,2.130644e-20,7.511061e-20
0.892,8.774274e-20,1.911884e-13,1.301889e-19,2.548764e-13,1.931669e-19,3.371102e-13,2.862309e-19,4.415035e-13,4.228241e-19,5.710107e-13,6.212090e-19,7.265748e-13,9.048478e-19,9.048441e-13,1.301114e-18,1.094731e-12,1.836189e-18,1.273028e-12,2.522652e-18,1.400628e-12,3.335394e-18,1.423729e-12,4.174059e-18,1.288540e-12,4.823139e-18,9.785830e-13,4.953815e-18,5.651667e-13,4.257543e-18,2.093935e-13,2.771962e-18,3.660497e-14,1.152847e-18,1.685322e-15,2.256812e-19,6.339750e-18
0.990,1.144803e-19,2.213291e-13,1.712489e-19,2.942038e-13,2.564183e-19,3.882717e-13,3.838935e-19,5.079255e-13,5.738070e-19,6.571700e-13,8.545799e-19,8.383689e-13,1.264802e-18,1.050048e-12,1.853690e-18,1.283406e-12,2.677413e-18,1.517439e-12,3.786211e-18,1.713559e-12,5.194241e-18,1.813012e-12,6.823088e-18,1.744983e-12,8.418768e-18,1.457856e-12,9.478667e-18,9.789268e-13,9.308181e-18,4.633570e-13,7.411706e-18,1.224255e-13,4.233811e-18,1.168576e-14,1.400505e-18,1.712454e-16
1.087,1.439746e-19,2.468374e-13,2.170403e-19,3.269696e-13,3.277854e-19,4.302304e-13,4.954710e-19,5.615858e-13,7.486384e-19,7.258690e-13,1.128799e-18,9.266732e-13,1.694651e-18,1.164351e-12,2.525654e-18,1.432716e-12,3.721978e-18,1.714143e-12,5.394472e-18,1.973398e-12,7.632964e-18,2.152365e-12,1.043528e-17,2.171934e-12,1.358002e-17,1.953520e-12,1.645430e-17,1.474218e-12,1.794575e-17,8.431437e-13,1.670027e-17,3.058409e-13,1.214672e-17,5.078189e-14,5.944953e-18,2.059201e-15
1.185,1.761233e-19,2.676570e-13,2.674827e-19,3.531584e-13,4.072834e-19,4.630358e-13,6.212387e-19,6.026162e-13,9.482008e-19,7.773089e-13,1.446067e-18,9.916618e-13,2.199334e-18,1.247612e-12,3.327487e-18,1.541524e-12,4.991402e-18,1.859594e-12,7.390747e-18,2.171572e-12,1.073781e-17,2.423999e-12,1.518181e-17,2.537383e-12,2.064701e-17,2.417783e-12,2.655743e-17,1.999485e-12,3.150264e-17,1.326003e-12,3.314320e-17,6.153586e-13,2.905374e-17,1.564206e-13,1.913002e-17,1.372200e-14
1.282,2.108948e-19,2.840044e-13,3.226017e-19,3.731318e-13,4.950892e-19,4.872613e-13,7.617250e-19,6.318843e-13,1.173785e-18,8.127398e-13,1.809262e-18,1.035031e-12,2.784945e-18,1.301947e-12,4.271683e-18,1.612098e-12,6.510760e-18,1.955427e-12,9.824685e-18,2.307297e-12,1.460636e-17,2.621258e-12,2.125413e-17,2.823282e-12,2.999709e-17,2.815247e-12,4.053842e-17,2.502964e-12,5.148328e-17,1.865741e-12,5.973423e-17,1.050581e-12,6.059827e-17,3.718027e-13,5.007617e-17,5.889570e-14
1.380,2.483136e-19,2.962424e-13,3.825096e-19,3.874486e-13,5.915181e-19,5.037481e-13,9.176860e-19,6.506277e-13,1.427069e-18,8.339355e-13,2.221939e-18,1.059247e-12,3.458793e-18,1.330644e-12,5.372961e-18,1.648567e-12,8.309256e-18,2.006315e-12,1.275363e-17,2.384783e-12,1.935054e-17,2.745489e-12,2.887035e-17,3.023434e-12,4.205692e-17,3.125006e-12,5.924069e-17,2.942975e-12,7.958209e-17,2.407418e-12,9.992880e-17,1.579655e-12,1.137860e-16,7.244089e-13,1.120834e-16,1.810612e-13
1.477,2.884488e-19,3.048000e-13,4.473908e-19,3.967510e-13,6.970053e-19,5.134438e-13,1.090084e-18,6.602227e-13,1.710097e-18,8.428615e-13,2.688325e-18,1.067059e-12,4.229452e-18,1.337454e-12,6.648455e-18,1.655872e-12,1.042074e-17,2.018420e-12,1.624391e-17,2.411011e-12,2.509953e-17,2.803093e-12,3.828151e-17,3.140297e-12,5.731546e-17,3.339154e-12,8.362512e-17,3.292355e-12,1.177199e-16,2.900758e-12,1.576625e-16,2.149527e-12,1.968675e-16,1.208909e-12,2.223809e-16,4.305238e-13
