Electrostatic Potential vs Distance Data
Surface potential: -200 mV (-7.8 kT/e)
""
z (Å),φ at c=0.01 M (kT/e),φ at c=0.014 M (kT/e),φ at c=0.02 M (kT/e),φ at c=0.028 M (kT/e),φ at c=0.04 M (kT/e),φ at c=0.056 M (kT/e),φ at c=0.079 M (kT/e),φ at c=0.11 M (kT/e),φ at c=0.16 M (kT/e),φ at c=0.22 M (kT/e),φ at c=0.32 M (kT/e),φ at c=0.45 M (kT/e),φ at c=0.63 M (kT/e),φ at c=0.89 M (kT/e),φ at c=1.3 M (kT/e),φ at c=1.8 M (kT/e),φ at c=2.5 M (kT/e),φ at c=3.5 M (kT/e)
0.100,-7.8105,-7.8105,-7.8105,-7.8105,-7.8105,-7.8105,-7.8105,-7.8105,-7.8105,-7.8105,-7.8105,-7.8105,-7.8105,-7.8105,-7.8105,-7.8105,-7.8105,-7.8105
0.200,-7.7476,-7.7414,-7.7350,-7.7282,-7.7211,-7.7138,-7.7062,-7.6984,-7.6905,-7.6824,-7.6742,-7.6659,-7.6576,-7.6492,-7.6409,-7.6325,-7.6242,-7.6160
0.300,-7.6847,-7.6724,-7.6594,-7.6458,-7.6316,-7.6170,-7.6018,-7.5863,-7.5704,-7.5542,-7.5378,-7.5212,-7.5046,-7.4879,-7.4712,-7.4546,-7.4379,-7.4214
0.400,-7.6218,-7.6033,-7.5838,-7.5634,-7.5422,-7.5202,-7.4975,-7.4742,-7.4503,-7.4260,-7.4014,-7.3766,-7.3516,-7.3266,-7.3015,-7.2766,-7.2517,-7.2268
0.500,-7.5589,-7.5342,-7.5082,-7.4810,-7.4527,-7.4234,-7.3931,-7.3620,-7.3302,-7.2979,-7.2651,-7.2320,-7.1986,-7.1653,-7.1319,-7.0986,-7.0654,-7.0322
0.600,-7.4959,-7.4651,-7.4326,-7.3987,-7.3633,-7.3266,-7.2888,-7.2499,-7.2102,-7.1697,-7.1287,-7.0873,-7.0457,-7.0039,-6.9622,-6.9206,-6.8791,-6.8376
0.700,-7.4330,-7.3960,-7.3570,-7.3163,-7.2738,-7.2298,-7.1844,-7.1378,-7.0901,-7.0416,-6.9923,-6.9427,-6.8927,-6.8426,-6.7926,-6.7426,-6.6928,-6.6431
0.800,-7.3701,-7.3269,-7.2814,-7.2339,-7.1844,-7.1330,-7.0801,-7.0257,-6.9700,-6.9134,-6.8560,-6.7980,-6.7397,-6.6813,-6.6229,-6.5646,-6.5065,-6.4485
0.900,-7.3072,-7.2578,-7.2059,-7.1515,-7.0949,-7.0363,-6.9757,-6.9135,-6.8500,-6.7852,-6.7196,-6.6534,-6.5868,-6.5200,-6.4532,-6.3866,-6.3202,-6.2539
1.000,-7.2443,-7.1887,-7.1303,-7.0691,-7.0055,-6.9395,-6.8714,-6.8014,-6.7299,-6.6571,-6.5832,-6.5087,-6.4338,-6.3587,-6.2836,-6.2086,-6.1339,-6.0593
1.100,-7.1813,-7.1196,-7.0547,-6.9868,-6.9160,-6.8427,-6.7670,-6.6893,-6.6098,-6.5289,-6.4469,-6.3641,-6.2808,-6.1973,-6.1139,-6.0306,-5.9476,-5.8648
1.200,-7.1184,-7.0505,-6.9791,-6.9044,-6.8266,-6.7459,-6.6627,-6.5772,-6.4897,-6.4007,-6.3105,-6.2194,-6.1278,-6.0360,-5.9442,-5.8526,-5.7613,-5.6702
1.300,-7.0555,-6.9814,-6.9035,-6.8220,-6.7371,-6.6491,-6.5583,-6.4650,-6.3697,-6.2726,-6.1741,-6.0748,-5.9749,-5.8747,-5.7746,-5.6746,-5.5750,-5.4756
1.400,-6.9926,-6.9123,-6.8279,-6.7396,-6.6477,-6.5523,-6.4540,-6.3529,-6.2496,-6.1444,-6.0378,-5.9301,-5.8219,-5.7134,-5.6049,-5.4966,-5.3887,-5.2810
1.500,-6.9297,-6.8432,-6.7524,-6.6573,-6.5582,-6.4555,-6.3496,-6.2408,-6.1295,-6.0162,-5.9014,-5.7855,-5.6689,-5.5521,-5.4352,-5.3187,-5.2024,-5.0864
1.600,-6.8667,-6.7741,-6.6768,-6.5749,-6.4688,-6.3588,-6.2453,-6.1287,-6.0094,-5.8881,-5.7650,-5.6409,-5.5159,-5.3907,-5.2656,-5.1407,-5.0161,-4.8919
1.700,-6.8038,-6.7050,-6.6012,-6.4925,-6.3793,-6.2620,-6.1409,-6.0165,-5.8894,-5.7599,-5.6287,-5.4962,-5.3630,-5.2294,-5.0959,-4.9627,-4.8298,-4.6973
1.800,-6.7409,-6.6360,-6.5256,-6.4101,-6.2899,-6.1652,-6.0365,-5.9044,-5.7693,-5.6317,-5.4923,-5.3516,-5.2100,-5.0681,-4.9262,-4.7847,-4.6435,-4.5027
1.900,-6.6780,-6.5669,-6.4500,-6.3277,-6.2004,-6.0684,-5.9322,-5.7923,-5.6492,-5.5036,-5.3560,-5.2069,-5.0570,-4.9068,-4.7566,-4.6067,-4.4572,-4.3081
2.000,-6.6151,-6.4978,-6.3744,-6.2454,-6.1110,-5.9716,-5.8278,-5.6802,-5.5292,-5.3754,-5.2196,-5.0623,-4.9041,-4.7455,-4.5869,-4.4287,-4.2709,-4.1136
2.100,-6.5522,-6.4287,-6.2988,-6.1630,-6.0215,-5.8748,-5.7235,-5.5680,-5.4091,-5.2473,-5.0832,-4.9176,-4.7511,-4.5841,-4.4172,-4.2507,-4.0846,-3.9190
2.200,-6.4892,-6.3596,-6.2233,-6.0806,-5.9321,-5.7781,-5.6191,-5.4559,-5.2890,-5.1191,-4.9469,-4.7730,-4.5981,-4.4228,-4.2476,-4.0727,-3.8983,-3.7244
2.300,-6.4263,-6.2905,-6.1477,-5.9982,-5.8426,-5.6813,-5.5148,-5.3438,-5.1689,-4.9909,-4.8105,-4.6283,-4.4451,-4.2615,-4.0779,-3.8947,-3.7120,-3.5297
2.400,-6.3634,-6.2214,-6.0721,-5.9159,-5.7532,-5.5845,-5.4104,-5.2317,-5.0489,-4.8628,-4.6741,-4.4837,-4.2922,-4.1002,-3.9082,-3.7167,-3.5256,-3.3350
2.500,-6.3005,-6.1523,-5.9965,-5.8335,-5.6637,-5.4877,-5.3061,-5.1195,-4.9288,-4.7346,-4.5377,-4.3390,-4.1392,-3.9388,-3.7385,-3.5386,-3.3392,-3.1403
2.600,-6.2383,-6.0841,-5.9220,-5.7523,-5.5757,-5.3926,-5.2037,-5.0096,-4.8112,-4.6093,-4.4045,-4.1979,-3.9900,-3.7816,-3.5733,-3.3654,-3.1580,-2.9510
2.700,-6.1775,-6.0176,-5.8495,-5.6736,-5.4905,-5.3008,-5.1050,-4.9040,-4.6985,-4.4893,-4.2773,-4.0633,-3.8481,-3.6324,-3.4167,-3.2014,-2.9867,-2.7724
2.800,-6.1181,-5.9527,-5.7789,-5.5972,-5.4080,-5.2120,-5.0099,-4.8024,-4.5904,-4.3745,-4.1558,-3.9351,-3.7131,-3.4906,-3.2682,-3.0462,-2.8249,-2.6041
2.900,-6.0600,-5.8894,-5.7102,-5.5229,-5.3280,-5.1262,-4.9182,-4.7046,-4.4865,-4.2645,-4.0396,-3.8127,-3.5845,-3.3559,-3.1273,-2.8994,-2.6722,-2.4457
3.000,-6.0031,-5.8276,-5.6433,-5.4507,-5.2505,-5.0432,-4.8296,-4.6104,-4.3866,-4.1589,-3.9284,-3.6958,-3.4620,-3.2277,-2.9937,-2.7604,-2.5280,-2.2967
3.100,-5.9475,-5.7673,-5.5781,-5.3806,-5.1752,-4.9628,-4.7440,-4.5196,-4.2905,-4.0576,-3.8218,-3.5840,-3.3451,-3.1058,-2.8669,-2.6288,-2.3920,-2.1567
